language,term,CIEL_L,CIEL_a,CIEL_b
Bulgarian,kuning,30.77,-27.32,-6.72
Bulgarian,kuning,20.54,-16.13,-4.67
Bulgarian,ungu,91.08,-10.86,-2.13
Bulgarian,ungu,81.35,-19.64,-4.3
Bulgarian,ungu,71.6,-27.52,-7.11
Bulgarian,ungu,61.7,-36.77,-10.9
Bulgarian,ungu,51.57,-36.19,-11.99
Bulgarian,ungu,41.22,-36.33,-13.61
Bulgarian,ungu,30.77,-25.67,-10.89
Bulgarian,ungu,20.54,-15.07,-7.11
Bulgarian,hidjau,91.08,-7.96,-4.41
Bulgarian,hidjau,81.35,-16.44,-9.33
Bulgarian,hidjau,71.6,-22.32,-14.67
Bulgarian,hidjau,61.7,-29.22,-21.27
Bulgarian,hidjau,51.57,-27.95,-22.24
Bulgarian,hidjau,41.22,-20.46,-17.64
Bulgarian,hidjau,30.77,-19.73,-18.89
Bulgarian,hidjau,20.54,-11.72,-12.03
Bulgarian,biru,91.08,-6.32,-5.08
Bulgarian,biru,81.35,-13.22,-11.59
Bulgarian,biru,71.6,-18.37,-18.07
Bulgarian,biru,61.7,-22.98,-25.73
Bulgarian,biru,51.57,-21.72,-26.63
Bulgarian,biru,41.22,-21.08,-28.21
Bulgarian,biru,30.77,-15.41,-22.0
Bulgarian,biru,20.54,-9.52,-13.99
Bulgarian,hidjau,91.08,-1.49,-5.61
Bulgarian,hidjau,81.35,-5.05,-23.28
Bulgarian,hidjau,71.6,-5.09,-30.75
Bulgarian,hidjau,61.7,-4.52,-39.18
Bulgarian,hidjau,51.57,-3.41,-48.08
Bulgarian,hidjau,41.22,-2.09,-40.81
Bulgarian,hidjau,30.77,0.29,-43.03
Bulgarian,hidjau,20.54,0.11,-26.61
Bulgarian,tjoklat,91.08,-0.37,-5.58
Bulgarian,tjoklat,81.35,-0.24,-24.03
Bulgarian,tjoklat,71.6,0.85,-31.32
Bulgarian,tjoklat,61.7,2.64,-39.49
Bulgarian,tjoklat,51.57,5.02,-48.35
Bulgarian,tjoklat,41.22,7.17,-48.94
Bulgarian,tjoklat,30.77,7.86,-43.39
Bulgarian,tjoklat,20.54,7.63,-35.92
Bulgarian,biru,91.08,1.12,-5.38
Bulgarian,biru,81.35,3.22,-14.27
Bulgarian,biru,71.6,6.06,-22.71
Bulgarian,biru,61.7,9.58,-30.64
Bulgarian,biru,51.57,14.19,-39.14
Bulgarian,biru,41.22,20.81,-48.05
Bulgarian,biru,30.77,25.75,-49.63
Bulgarian,biru,20.54,23.81,-41.87
Bulgarian,ungu,91.08,2.19,-4.93
Bulgarian,ungu,81.35,5.82,-13.42
Bulgarian,ungu,71.6,10.25,-21.6
Bulgarian,ungu,61.7,15.28,-29.05
Bulgarian,ungu,51.57,22.05,-37.02
Bulgarian,ungu,41.22,24.29,-38.02
Bulgarian,ungu,30.77,28.36,-39.75
Bulgarian,ungu,20.54,23.12,-31.33
Bulgarian,biru,91.08,3.36,-4.24
Bulgarian,biru,81.35,9.68,-11.26
Bulgarian,biru,71.6,16.13,-17.52
Bulgarian,biru,61.7,23.29,-23.79
Bulgarian,biru,51.57,31.24,-29.94
Bulgarian,biru,41.22,33.08,-30.5
Bulgarian,biru,30.77,36.9,-32.14
Bulgarian,biru,20.54,29.26,-25.01
Bulgarian,hitam,91.08,4.7,-2.0
Bulgarian,hitam,81.35,21.03,-9.69
Bulgarian,hitam,71.6,29.26,-13.95
Bulgarian,hitam,61.7,37.1,-18.34
Bulgarian,hitam,51.57,46.17,-23.4
Bulgarian,hitam,41.22,46.93,-24.7
Bulgarian,hitam,30.77,42.44,-23.6
Bulgarian,hitam,20.54,24.14,-14.33
Bulgarian,biru,91.08,5.04,-1.14
Bulgarian,biru,81.35,22.62,-5.51
Bulgarian,biru,71.6,38.97,-10.98
Bulgarian,biru,61.7,38.67,-11.63
Bulgarian,biru,51.57,48.98,-15.95
Bulgarian,biru,41.22,49.84,-17.34
Bulgarian,biru,30.77,44.87,-16.65
Bulgarian,biru,20.54,34.44,-14.69
Bulgarian,hidjau,91.08,5.44,1.5
Bulgarian,hidjau,81.35,23.74,6.18
Bulgarian,hidjau,71.6,32.41,7.97
Bulgarian,hidjau,61.7,49.67,10.71
Bulgarian,hidjau,51.57,59.79,10.72
Bulgarian,hidjau,41.22,61.57,8.63
Bulgarian,hidjau,30.77,47.63,5.24
Bulgarian,hidjau,20.54,36.42,-2.08
Catalan,sino,91.08,5.53,2.22
Catalan,sino,81.35,23.67,9.47
Catalan,sino,71.6,32.18,12.57
Catalan,sino,61.7,49.42,18.23
Catalan,sino,51.57,59.36,19.67
Catalan,sino,41.22,61.4,17.92
Catalan,sino,30.77,47.34,12.58
Catalan,sino,20.54,36.82,3.13
Catalan,zeleno,91.08,3.14,12.37
