CIEL_L,CIEL_a,CIEL_b,chip_id,mixed_term
41.22,46.93,-24.7,253,xanh
30.77,42.44,-23.6,254,xanh
20.54,24.14,-14.33,255,xanh
91.08,5.44,1.5,256,xanh
81.35,23.74,6.18,257,xanh
71.6,32.41,7.97,258,xanh
61.7,49.67,10.71,259,xanh
51.57,59.79,10.72,260,xanh
41.22,61.57,8.63,261,xanh
30.77,47.63,5.24,262,xanh
20.54,36.42,-2.08,263,xanh
91.08,1.28,14.41,264,xanh
81.35,15.1,90.21,265,xanh
71.6,15.62,90.72,266,xanh
61.7,14.45,76.93,267,xanh
51.57,13.12,63.99,268,xanh
41.22,9.31,37.8,269,xanh
30.77,9.51,37.16,270,xanh
20.54,3.62,11.09,271,xanh
91.08,-12.17,45.9,272,xanh
81.35,-17.25,87.99,273,xanh
71.6,-15.98,87.62,274,xanh
61.7,-14.02,73.17,275,xanh
51.57,-11.71,58.46,276,xanh
41.22,-9.31,43.05,277,xanh
30.77,-6.44,26.57,278,xanh
20.54,-3.09,10.75,279,xanh
91.08,-12.69,1.23,280,xanh
81.35,-32.18,1.81,281,xanh
71.6,-40.91,1.15,282,xanh
61.7,-41.11,0.19,283,xanh
51.57,-51.2,-1.36,284,xanh
41.22,-41.21,-2.07,285,xanh
30.77,-29.07,-1.92,286,xanh
20.54,-17.18,-1.47,287,xanh
91.08,-3.48,-5.55,288,xanh
81.35,-6.82,-13.92,289,xanh
71.6,-12.05,-29.46,290,xanh
61.7,-13.07,-37.55,291,xanh
51.57,-11.88,-38.56,292,xanh
41.22,-10.54,-39.65,293,xanh
30.77,-7.86,-33.8,294,xanh
20.54,-5.25,-25.49,295,xanh
91.08,4.3,10.08,296,xanh
81.35,14.87,30.96,297,xanh
71.6,32.89,77.02,298,xanh
61.7,29.38,64.4,299,xanh
51.57,29.45,64.44,300,xanh
41.22,22.15,41.13,301,xanh
30.77,18.18,30.27,302,xanh
20.54,13.28,18.21,303,xanh
91.08,-9.69,-3.22,304,xanh
81.35,-18.27,-7.01,305,xanh
71.6,-25.13,-11.03,306,xanh
61.7,-33.16,-16.42,307,xanh
51.57,-32.36,-17.71,308,xanh
41.22,-24.01,-14.24,309,xanh
30.77,-22.84,-15.29,310,xanh
20.54,-13.39,-9.92,311,xanh
91.08,-4.65,-5.34,312,xanh
81.35,-10.44,-12.79,313,xanh
71.6,-14.22,-19.9,314,xanh
61.7,-16.81,-28.31,315,xanh
51.57,-15.72,-29.08,316,xanh
41.22,-14.67,-30.69,317,xanh
30.77,-10.88,-24.2,318,xanh
20.54,-9.22,-24.04,319,xanh
